Phone,Web_Link,Display,Battery,Processor,Storage,Camera,Weight,Dimensions,Data Technology
Cricket Icon,https://www.phonescoop.com/phones/phone.php?p=6130,"5.5 in diagonal, 2:1480 x 960 pixels195 ppi approx.Type: LCD (TFT/TFD)",2500 mAh LiIonRemovableTalk: 10.4 hours max.Standby: 504 hours max.,1.5 GHz MediaTek MT6739quad-core1 GB RAM,16 GB raw hardware12.1 GB available to userExpandable via memory card,"5+ megapixel LED flash, fixed focusbeauty mode, filters, timerVideo: 1080p HD",6.07 oz 172 g,5.91 x 2.87 x 0.39 in 150 x 73 x 9.9 mm,LTE (Cat 4)
Palm,https://www.phonescoop.com/phones/phone.php?p=5840,"3.3 in diagonal, 16:9HD 720 x 1280 pixels445 ppi approx.Type: LCD (TFT/TFD)",800 mAh LiIonNon-removableTalk: 3.3 hours max.Standby: 72 hours max.,Qualcomm Snapdragon 435 MSM8940 MSM8940octa-core3 GB RAM,32 GB raw hardware18 GB available to userNot expandable,"12+ megapixel LED flashHDR, panorama, manual mode, long exposureVideo: 1080p HD",2.2 oz 62 g,1.99 x 3.8 x 0.29 in 51 x 97 x 7.4 mm,LTE (Cat 4)
Liquid Jade Primo,https://www.phonescoop.com/phones/phone.php?p=5116,"5.5 in diagonal, 16:9Full HD 1080 x 1920 pixels401 ppi approx.Type: AMOLED",2870 mAh LiPolymerNon-removableTalk: 20 hours max.Standby: 330 hours max.,2 GHz Qualcomm Snapdragon 808 MSM89923 GB RAM,32 GB raw hardwareExpandable via memory card,"20+ megapixel dual LED flashHDR, Lenses, bracketingVideo: 4K UHD",5.29 oz 150 g,6.17 x 3.02 x 0.33 in 157 x 77 x 8.5 mm,LTE (Cat 6)
1x (2018) / Ideal Xtra,https://www.phonescoop.com/phones/phone.php?p=5761,"5.3 in diagonal, 2:1480 x 960 pixels203 ppi approx.Type: LCD (TFT/TFD)",2460 mAh LiIonNon-removableTalk: 26 hours max.Standby: 547 hours max.,1.3 GHz MediaTek MT6739quad-core1 GB RAMAndroid Go version / standard Android version has 2 GB,16 GB raw hardware11.8 GB available to userExpandable via memory card,"8+ megapixel LED flash, auto-focus, f/2.0HDRVideo: 1080p HD",5.33 oz 151 g,5.81 x 2.78 x 0.36 in 147 x 71 x 9.1 mm,LTE (Cat 4)
1x (2019) / Onyx,https://www.phonescoop.com/phones/phone.php?p=5934,"5.5 in diagonal, 2:1720 x 1440 pixels293 ppi approx.Type: LCD (TFT/TFD)",3000 mAh LiIonNon-removableTalk: 12 hours max.Standby: 420 hours max.,1.5 GHz MediaTek 6739WWquad-core2 GB RAM,32 GB raw hardwareExpandable via memory cardsome versions (1x) have 16 GB,"13+ megapixel LED flashportrait mode with post-shot refocusing, panorama, HDR, long exposure mode, timeroptional scaling to 16 megapixelExtra Camera(s): depth (for portrait/bokeh) 2 megapixelVideo: 1080p HD",4.52 oz 128 g,5.74 x 2.7 x 0.29 in 146 x 69 x 7.4 mm,LTE (Cat 4)
1x Evolve / idealXTRA,https://www.phonescoop.com/phones/phone.php?p=5915,"5.3 in diagonal, 2:1480 x 960 pixels203 ppi approx.Type: LCD (TFT/TFD)",2460 mAh LiIonNon-removableTalk: 21 hours max.Standby: 337 hours max.,1.1 GHz MediaTek MT6739quad-core2 GB RAM,16 GB raw hardware9 GB available to userExpandable via memory card,8+ megapixel LED flashVideo: 1080p HD,5.33 oz 151 g,5.8 x 2.78 x 0.37 in 147 x 70 x 9.4 mm,LTE (Cat 4)
3v,https://www.phonescoop.com/phones/phone.php?p=5662,"6 in diagonal, 2:11080 x 2160 pixels402 ppi approx.Type: LCD (TFT/TFD)",3000 mAh LiIonNon-removableTalk: 6 hours max.Standby: 212 hours max.,1.5 GHz MediaTek MT8735Aquad-core2 GB RAM,16 GB raw hardware10.6 GB available to userExpandable via memory card,"12+ megapixel f/2.2, LED flashHDR, bokeh, panorama, light trace (long exposure), night modeExtra Camera(s): depth (for portrait/bokeh) 2 megapixelVideo: 1080p HD time-lapse",5.47 oz 155 g,6.38 x 2.99 x 0.32 in 162 x 76 x 8 mm,LTE (Cat 4)
3V (2019),https://www.phonescoop.com/phones/phone.php?p=6154,"6.7 in diagonal, 2:1720 x 1440 pixels240 ppi approx.Type: LCD (TFT/TFD)",4000 mAh LiIonNon-removableTalk: 24 hours max.Standby: 400 hours max.,2 GHz MediaTek Helio P22 MT6762octa-core3 GB RAM,32 GB raw hardware23 GB available to userExpandable via memory card,"16+ megapixel LED flashauto scene detection, Google LensExtra Camera(s): depth (for portrait/bokeh) 5 megapixelVideo: 1080p HD",6.98 oz 198 g,6.87 x 3.28 x 0.33 in 174 x 83 x 8.4 mm,LTE (Cat 4)
7 / REVVL 2 Plus,https://www.phonescoop.com/phones/phone.php?p=5844,"6 in diagonal, 2:11080 x 2160 pixels402 ppi approx.Type: LCD (TFT/TFD)",4000 mAh LiIonNon-removableTalk: 14 hours max.Standby: 614 hours max.,2.5 GHz MediaTek Helio P23 MT6763Tocta-core3 GB RAMAlcatel 7 has 2 GB,32 GB raw hardware26 GB available to userExpandable via memory card,12+ megapixel LED flashExtra Camera(s): depth (for portrait/bokeh) 2 megapixelVideo: 1080p HD,6.17 oz 175 g,6.38 x 2.95 x 0.34 in 162 x 75 x 8.6 mm,LTE (Cat 6)
768,https://www.phonescoop.com/phones/phone.php?p=3956,"2.4 in diagonal, 4:3QVGA 240 x 320 pixels167 ppi approx.Type: LCD (TFT/TFD)",850 mAhRemovableTalk: 5.5 hours max.Standby: 420 hours max.,611 MHz MTK 6276ARM1164 MB RAM,128 MB raw hardwareExpandable via memory card,"2+ megapixel night mode, timerVideo: QCIF (176 x 144)",3.5 oz 99 g,4.09 x 2.07 x 0.68 in 104 x 52 x 17.3 mm,HSPA 7.2
